Month_Registered,Zip_Code,City,County,Total_EV_Registrations
2020-07-31,21203,Baltimore,Baltimore City,0
2020-07-31,21204,Towson,Baltimore County,150
2020-07-31,21205,Baltimore,Baltimore City,8
2020-07-31,21206,Baltimore,Baltimore City,39
2020-07-31,21207,Gwynn Oak,Baltimore County,47
2020-07-31,21208,Pikesville,Baltimore County,196
2020-07-31,21209,Baltimore,Baltimore City,146
2020-07-31,21210,Baltimore,Baltimore City,147
2020-07-31,21211,Baltimore,Baltimore City,81
2020-07-31,21212,Baltimore,Baltimore City,187
2020-07-31,21213,Baltimore,Baltimore City,17
2020-07-31,21214,Baltimore,Baltimore City,60
2020-07-31,21215,Baltimore,Baltimore City,52
2020-07-31,21216,Baltimore,Baltimore City,14
2020-07-31,21217,Baltimore,Baltimore City,35
2020-07-31,21218,Baltimore,Baltimore City,118
2020-07-31,21219,Sparrows Point,Baltimore County,27
2020-07-31,21220,Middle River,Baltimore County,56
2020-07-31,21221,Essex,Baltimore County,62
2020-07-31,21222,Dundalk,Baltimore County,63
2020-07-31,21223,Baltimore,Baltimore City,6
2020-07-31,21224,Baltimore,Baltimore City,158
2020-07-31,21225,Brooklyn,Baltimore City,24
2020-07-31,21226,Curtis Bay,Anne Arundel County,8
2020-07-31,21227,Halethorpe,Baltimore County,56
2020-07-31,21228,Catonsville,Baltimore County,181
2020-07-31,21229,Baltimore,Baltimore City,56
2020-07-31,21230,Baltimore,Baltimore City,210
2020-07-31,21231,Baltimore,Baltimore City,79
2020-07-31,21233,Baltimore,Baltimore City,0
2020-07-31,21234,Parkville,Baltimore County,106
2020-07-31,21235,Baltimore,Baltimore City,0
2020-07-31,21236,Nottingham,Baltimore County,59
2020-07-31,21237,Rosedale,Baltimore County,54
2020-07-31,21239,Baltimore,Baltimore City,16
2020-07-31,21240,Baltimore,Anne Arundel County,0
2020-07-31,21241,Baltimore,Baltimore City,0
2020-07-31,21244,Windsor Mill,Baltimore County,50
2020-07-31,21250,Baltimore,Baltimore County,9
2020-07-31,21251,Baltimore,Baltimore City,0
2020-07-31,21252,Baltimore,Baltimore County,0
2020-07-31,21263,Baltimore,Baltimore City,0
2020-07-31,21264,Baltimore,Baltimore City,0
2020-07-31,21265,Baltimore,Baltimore City,0
2020-07-31,21268,Baltimore,Baltimore City,0
2020-07-31,21270,Baltimore,Baltimore City,0
2020-07-31,21273,Baltimore,Baltimore City,0
2020-07-31,21274,Baltimore,Baltimore City,0
