Zip_Code,City,County,Current_Actual_EV_Registrations,Current_Predicted_EV_Registrations,Predicted_EV_Registrations_1_Year,Predicted_EV_Registrations_3_Years,Predicted_EV_Registrations_5_Years,Charging_Station_Count,Current_Need_Score,Need_Score_1_Year,Need_Score_3_Years,Need_Score_5_Years
21613,Cambridge,Dorchester County,182,184,245,439,749,0,184.0,245.0,439.0,749.0
20695,White Plains,Charles County,437,430,564,929,1481,1,215.0,282.0,464.5,740.5
21793,Walkersville,Frederick County,168,170,230,417,736,0,170.0,230.0,417.0,736.0
21074,Hampstead,Carroll County,159,163,225,412,704,0,163.0,225.0,412.0,704.0
21237,Rosedale,Baltimore County,416,418,537,841,1355,1,209.0,268.5,420.5,677.5
21773,Myersville,Frederick County,150,158,217,385,669,0,158.0,217.0,385.0,669.0
21710,Adamstown,Frederick County,149,155,215,385,669,0,155.0,215.0,385.0,669.0
21046,Columbia,Howard County,576,585,749,1208,2006,2,195.0,249.7,402.7,668.7
20616,Bryans Road,Charles County,148,153,217,382,663,0,153.0,217.0,382.0,663.0
20637,Hughesville,Charles County,143,141,212,382,663,0,141.0,212.0,382.0,663.0
21617,Centreville,Queen Anne's County,162,170,225,392,663,0,170.0,225.0,392.0,663.0
20754,Dunkirk,Calvert County,154,158,219,380,660,0,158.0,219.0,380.0,660.0
21787,Taneytown,Carroll County,140,133,205,372,648,0,133.0,205.0,372.0,648.0
20712,Mount Rainier,Prince George's County,125,127,181,348,646,0,127.0,181.0,348.0,646.0
21755,Jefferson,Frederick County,136,137,195,349,617,0,137.0,195.0,349.0,617.0
21102,Manchester,Carroll County,142,142,195,349,616,0,142.0,195.0,349.0,616.0
21158,Westminster,Carroll County,301,301,433,749,1231,1,150.5,216.5,374.5,615.5
21286,Towson,Baltimore County,501,515,649,1027,1794,2,171.7,216.3,342.3,598.0
20722,Brentwood,Prince George's County,112,115,169,307,586,0,115.0,169.0,307.0,586.0
21013,Baldwin,Baltimore County,117,122,176,323,586,0,122.0,176.0,323.0,586.0
21087,Kingsville,Baltimore County,119,123,176,323,586,0,123.0,176.0,323.0,586.0
21219,Sparrows Point,Baltimore County,102,110,153,309,586,0,110.0,153.0,309.0,586.0
20746,Suitland,Prince George's County,341,350,481,806,1168,1,175.0,240.5,403.0,584.0
21713,Boonsboro,Washington County,129,128,175,308,583,0,128.0,175.0,308.0,583.0
21638,Grasonville,Queen Anne's County,117,116,176,309,583,0,116.0,176.0,309.0,583.0
21236,Nottingham,Baltimore County,486,485,615,983,1714,2,161.7,205.0,327.7,571.3
20878,Gaithersburg,Montgomery County,3673,3834,3978,3978,3978,6,547.7,568.3,568.3,568.3
20755,Fort George G Meade,Anne Arundel County,124,130,175,310,565,0,130.0,175.0,310.0,565.0
21057,Glen Arm,Baltimore County,110,107,158,309,564,0,107.0,158.0,309.0,564.0
21223,Baltimore,Baltimore City,113,118,169,309,564,0,118.0,169.0,309.0,564.0
21788,Thurmont,Frederick County,108,112,164,305,559,0,112.0,164.0,305.0,559.0
21140,Riva,Anne Arundel County,109,114,158,293,552,0,114.0,158.0,293.0,552.0
20860,Sandy Spring,Montgomery County,108,110,158,294,551,0,110.0,158.0,294.0,551.0
20685,Saint Leonard,Calvert County,107,110,149,280,527,0,110.0,149.0,280.0,527.0
20634,Great Mills,Saint Mary's County,105,108,150,280,527,0,108.0,150.0,280.0,527.0
21666,Stevensville,Queen Anne's County,293,295,394,704,1027,1,147.5,197.0,352.0,513.5
20603,Waldorf,Charles County,762,768,897,1015,1015,1,384.0,448.5,507.5,507.5
21703,Frederick,Frederick County,939,953,1015,1015,1015,1,476.5,507.5,507.5,507.5
20706,Lanham,Prince George's County,642,646,818,1013,1015,1,323.0,409.0,506.5,507.5
21403,Annapolis,Anne Arundel County,967,973,1012,1012,1012,1,486.5,506.0,506.0,506.0
21060,Glen Burnie,Anne Arundel County,745,745,895,1012,1012,1,372.5,447.5,506.0,506.0
20850,Rockville,Montgomery County,4973,3984,3984,3984,3984,7,498.0,498.0,498.0,498.0
20852,Rockville,Montgomery County,2193,2228,3025,3980,3980,7,278.5,378.1,497.5,497.5
21050,Forest Hill,Harford County,294,286,395,664,983,1,143.0,197.5,332.0,491.5
21875,Delmar,Wicomico County,97,97,138,269,486,0,97.0,138.0,269.0,486.0
21161,White Hall,Harford County,87,92,127,252,484,0,92.0,127.0,252.0,484.0
21084,Jarrettsville,Harford County,88,92,127,252,484,0,92.0,127.0,252.0,484.0
21758,Knoxville,Frederick County,93,91,126,248,479,0,91.0,126.0,248.0,479.0
21225,Brooklyn,Baltimore City,229,230,302,574,952,1,115.0,151.0,287.0,476.0
20785,Hyattsville,Prince George's County,522,516,661,1063,1425,2,172.0,220.3,354.3,475.0
21663,Saint Michaels,Talbot County,88,91,127,249,470,0,91.0,127.0,249.0,470.0
21014,Bel Air,Harford County,589,596,760,1129,1879,3,149.0,190.0,282.2,469.8
20657,Lusby,Calvert County,267,272,354,621,932,1,136.0,177.0,310.5,466.0
21776,New Windsor,Carroll County,95,97,138,252,458,0,97.0,138.0,252.0,458.0
20711,Lothian,Anne Arundel County,95,97,130,252,458,0,97.0,130.0,252.0,458.0
20842,Dickerson,Montgomery County,94,94,132,250,457,0,94.0,132.0,250.0,457.0
21133,Randallstown,Baltimore County,404,403,536,841,1355,2,134.3,178.7,280.3,451.7
21031,Hunt Valley,Baltimore County,89,95,121,235,445,0,95.0,121.0,235.0,445.0
21213,Baltimore,Baltimore City,246,245,321,598,889,1,122.5,160.5,299.0,444.5
21218,Baltimore,Baltimore City,592,589,746,887,885,1,294.5,373.0,443.5,442.5
20601,Waldorf,Charles County,484,493,631,1056,1769,3,123.2,157.8,264.0,442.2
21791,Union Bridge,Carroll County,78,82,110,226,433,0,82.0,110.0,226.0,433.0
21629,Denton,Caroline County,83,87,115,231,433,0,87.0,115.0,231.0,433.0
21040,Edgewood,Harford County,213,206,277,521,862,1,103.0,138.5,260.5,431.0
21550,Oakland,Garrett County,75,78,110,226,412,0,78.0,110.0,226.0,412.0
20602,Waldorf,Charles County,380,385,526,829,1226,2,128.3,175.3,276.3,408.7
21154,Street,Harford County,74,73,107,219,406,0,73.0,107.0,219.0,406.0
21226,Curtis Bay,Anne Arundel County,77,75,110,223,406,0,75.0,110.0,223.0,406.0
20896,Garrett Park,Montgomery County,89,92,115,222,406,0,92.0,115.0,222.0,406.0
21205,Baltimore,Baltimore City,81,82,108,220,406,0,82.0,108.0,220.0,406.0
